"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2406","LEPRE1",0.984091269841269,-0.00152866242038216,17.9134977999569,5.66362548913924e-40,5.21889604001588e-37,80.3350310348411
"1735","MRPS10",0.973281746031745,0.189426751592357,17.670407894104,2.41480281659369e-39,2.12403860472293e-36,78.8999531771306
"15003","BMP2K",0.83019246031746,0.375350318471338,17.6303231063987,3.06908986672863e-39,2.58217208743764e-36,78.6626576790005
"15676","PDE6H",0.760587301587301,0.094140127388535,17.5756756723261,4.2568908260922e-39,3.43229559898792e-36,78.3388572551673
"13649","NDUFV1",-0.681791666666666,-0.517707006369427,-17.5266473540722,5.71069190777148e-39,4.42030396429144e-36,78.0480616525417
"846","ZNF84",0.877484126984127,0.0124203821656051,17.5075687105337,6.40283398498912e-39,4.76543232475094e-36,77.9348289866537
"818","EDA2R",0.89140873015873,0.121464968152866,17.3584762417296,1.56758592700283e-38,1.12349463975673e-35,77.0485413194161
"2803","RAC2",-0.906410714285714,-0.442611464968153,-17.3268904587162,1.8956083690915e-38,1.31006848393892e-35,76.8604574382884
"4888","CD37",-0.878152777777777,-0.482675159235669,-17.2484448596918,3.04011829977131e-38,2.02859755927154e-35,76.3928561898063
"398","PRKD2",-0.946184523809523,-0.55031847133758,-17.2385073320565,3.22774089045807e-38,2.08200046570847e-35,76.33357144526
"12258","C10orf137",0.832996031746031,-0.124649681528662,17.1961667901807,4.16641913638354e-38,2.60078634542445e-35,76.0808561714235
"2159","GABRD",1.01027182539682,0.161592356687898,16.9271280609061,2.11914166094464e-37,1.28148469627936e-34,74.4704760543478
"5809","BDKRB1",0.759787698412698,0.424458598726115,16.8579354027245,3.22382646594364e-37,1.89043230128713e-34,74.0550462360893
"17750","RUSC1",-0.604904761904761,-0.620191082802548,-16.7416272728756,6.53347611063073e-37,3.71850871225927e-34,73.355590269784
"4703","C19orf61",0.838249999999999,0.245987261146497,16.6554908514437,1.10338315549388e-36,6.10044784056058e-34,72.8366641866328
"2864","KLF8",0.928289682539682,0.179108280254777,16.6295932329262,1.29185878532759e-36,6.94409982079841e-34,72.680493577305
"13440","SLC35A4",0.829920634920634,0.254267515923567,16.4970661321898,2.89838535985507e-36,1.5158555432042e-33,71.8802309439232
"431","SLC22A17",0.921105158730159,0.114649681528662,16.4699576914278,3.42007322064299e-36,1.74162728664902e-33,71.716315540682
"4724","EEF2",-0.803176587301586,-0.604522292993631,-16.4259760470119,4.47427051472306e-36,2.22004124949759e-33,71.4502150414615
"11784","PARP10",-0.503448412698412,-0.351592356687898,-16.4092565782768,4.95566739902432e-36,2.39742799596299e-33,71.3490065725946
"5343","PPP4C",-1.03302182539682,-0.593821656050955,-16.402970651681,5.14980188865203e-36,2.43058088651964e-33,71.3109484955613
"19202","FAM127B",-0.60344246031746,-0.321592356687898,-16.3847558452398,5.75649548734957e-36,2.61555734256488e-33,71.2006446964872
"15463","C8orf17",0.865902777777777,0.0899363057324841,16.3831852903129,5.81204928584e-36,2.61555734256488e-33,71.191132292054
"6006","ATP2B1",0.817670634920634,0.0315286624203822,16.3784043932216,5.98449027070379e-36,2.63195161882703e-33,71.1621742348172
"6280","NNMT",0.683730158730158,0.103312101910828,16.3361114204913,7.75171974041466e-36,3.33341174881698e-33,70.9059045902098
"14483","SVEP1",1.04967658730159,0.486369426751592,16.2937470899956,1.00469590387262e-35,4.22649357300851e-33,70.649023783405
"11523","C5orf23",0.844099206349206,0.230382165605096,16.2657404307814,1.19272189393076e-35,4.91071518499024e-33,70.4791045905195
"7629","CD74",-0.927718253968253,-0.630700636942675,-16.1753422214096,2.07608269476561e-35,8.36964088050195e-33,69.9301231235724
"13287","TUBA1A",-0.797557539682539,-0.461847133757962,-16.160066711803,2.28009367656384e-35,9.00450872146669e-33,69.8372772370034
"8379","HTR2B",0.801505952380952,0.109108280254777,16.135225830281,2.65565893390415e-35,1.02779312059958e-32,69.6862438112407
"13190","LRRC8D",0.858027777777778,0.15031847133758,16.1012041515025,3.27270499695087e-35,1.2417669489411e-32,69.4792939881041
"7744","PRKAA1",0.878212301587301,0.0860509554140127,16.0727674609243,3.89747079903803e-35,1.45038379677279e-32,69.3062314986078
"15727","ARF4",0.950359126984127,-0.151592356687898,16.0551465851321,4.34326392548556e-35,1.58578302305795e-32,69.1989539421359
"1072","DNMT3B",0.719920634920634,0.365796178343949,15.9629912916603,7.65597663164062e-35,2.74353340368292e-32,68.6374226018527
"18284","ZNF780B",0.785462301587301,0.283885350318471,15.8964435905973,1.15342301570322e-34,4.05816159579511e-32,68.231428960728
"13139","COTL1",-1.28611411411411,-0.664230769230769,-15.9050287988139,1.29880382991814e-34,4.48806302013319e-32,68.115888296616
"3375","NEK6",0.912821428571429,-0.186815286624204,15.8697361231893,1.35978325245538e-34,4.61634486285333e-32,68.0683761986178
"5178","PDK2",0.839847222222221,0.364904458598726,15.8358706930216,1.67551803523794e-34,5.59016370687748e-32,67.8615281976406
"16068","NEXN",0.778615079365079,0.0852229299363057,15.8284304668425,1.75419305614953e-34,5.75345590331349e-32,67.8160695869444
