"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","ACTB",-2.67048412698412,-1.87350318471338,-21.7659720607694,1.52925294556143e-49,1.47962868747796e-45,102.103452673344
"2","ACTB",-2.73982582582582,-1.83660256410256,-21.3571730002727,1.97699732714085e-48,1.27522917591675e-44,99.5779193114839
"3","TXNIP",-2.66006493506494,-1.90115384615385,-20.3776460536423,4.6133838647751e-46,1.52074308572667e-42,94.1900517178733
"4","ACTB",-2.72729761904762,-1.60025477707006,-19.9801971772299,3.31890065001464e-45,7.13600516427037e-42,92.2470863170905
"5","ACTB",-2.61455357142857,-1.43515923566879,-19.4426992761934,7.24650698344998e-44,1.27479233306128e-40,89.200138782623
"6","ACTB",-2.4980505050505,-1.77503225806452,-19.1495864245855,6.55599568219832e-43,1.05720893705183e-39,87.0242869256784
"7","ACTB",-2.5910404040404,-1.55258064516129,-18.8054422161309,4.784327219179e-42,6.17210106788885e-39,85.0593338949769
